time,open,high,low,close,MHULL,SHULL
1529625600,6722.83128,6739.999999,5911.500001,6041.55532,6422.439009696863,6487.6503549646395
1529712000,6041.55532,6258.624638,6005.596254,6150,6377.604893717034,6460.441939566386
1529798400,6157.672079,6241.320201,5736.812481,6137.370214,6326.68001184363,6422.439009696863
1529884800,6137.370214,6335.070427,6080,6236.480565,6273.087871228983,6377.604893717034
1529971200,6246.7458,6265.110355,6036.479738,6068.11,6214.459274913762,6326.68001184363
1530057600,6068.11,6188.897359,5992.334638,6139.692981,6155.624485740047,6273.087871228983
1530144000,6139.692989,6161.62624,5814.028081,5858.604311,6091.634602788528,6214.459274913762
1530230400,5847.750623,6290,5796.529994,6175,6034.810390081866,6155.624485740047
1530316800,6172.061845,6490,6172.061845,6396.825794,5990.809406560386,6091.634602788528
1530403200,6388.334698,6437.850394,6255,6361.084362,5957.744641007075,6034.810390081866
1530489600,6353.74,6676.707272,6271.947152,6610,5941.225603423071,5990.809406560386
1530576000,6610,6686.357176,6465,6499.677039,5936.565277033247,5957.744641007075
1530662400,6508,6774.983889,6414.057852,6585.127182,5944.26447874972,5941.225603423071
1530748800,6585.127182,6707.541995,6450,6532.833212,5961.075539893659,5936.565277033247
1530835200,6532.833212,6628.92,6439.259361,6603.5,5986.24576616588,5944.26447874972
1530921600,6603.5,6800,6510.246765,6761.389662,6022.130838145135,5961.075539893659
1531008000,6761.389662,6792.773818,6685,6700.316493,6064.352002748906,5986.24576616588
1531094400,6705,6798.505625,6629.883958,6651.55703,6109.366079222627,6022.130838145135
1531180800,6651.670569,6681.862632,6273.193389,6290.5935,6146.219540816624,6064.352002748906
1531267200,6295.306765,6400,6271.815202,6367.91365,6177.004439295993,6109.366079222627
1531353600,6358.567472,6368.734996,6078.081903,6235.641993,6198.8154373376165,6146.219540816624
1531440000,6239.6292,6342.8,6127.258272,6233.073104,6212.461466380594,6177.004439295993
1531526400,6216.542634,6321.20308,6180,6269.3855,6220.405323159588,6198.8154373376165
1531612800,6263.211181,6395,6232.174422,6350,6226.706872980177,6212.461466380594
1531699200,6350.5,6747.153831,6332.029265,6729.447518,6243.190408313067,6220.405323159588
1531785600,6716.2953,7459.508491,6653.386469,7318.38208,6285.2623489689695,6226.706872980177
1531872000,7287.55752,7581.063032,7236.133513,7376.429889,6349.847671772814,6243.190408313067
1531958400,7380.212535,7563.739999,7274.414343,7464.421246,6434.686463670636,6285.2623489689695
1532044800,7468.623204,7683,7276.108628,7340.903638,6530.178237371715,6349.847671772814
1532131200,7336.652064,7449.99999,7222.772404,7399.466745,6632.6149480080785,6434.686463670636
1532217600,7392.8214,7578.12,7341.610058,7408.1821,6737.008199912068,6530.178237371715
1532304000,7403.969152,7820.508955,7380.759217,7712.387556,6846.934199959776,6632.6149480080785
1532390400,7734.230173,8485,7699.630472,8415.562953,6976.546143185561,6737.008199912068
1532476800,8409.687934,8487.888658,8059.06685,8160.000001,7113.446890765005,6846.934199959776
1532563200,8182.560574,8319.179352,7835.5668,7915.567995,7246.941297753356,6976.546143185561
1532649600,7915.907909,8280.885991,7810,8170.344,7381.961878138114,7113.446890765005
1532736000,8188.184257,8238.633309,8080,8234.152058,7516.904054456505,7246.941297753356
1532822400,8232.718871,8293.8016,8115.750395,8213.266686,7647.8471371047535,7381.961878138114
1532908800,8229.416561,8275.569603,7861.4931,8168.716193,7770.841758227248,7516.904054456505
1532995200,8174.408082,8177.900525,7644.74493,7734.450328,7872.789409330195,7647.8471371047535
1533081600,7741.745431,7749.4208,7442.750817,7596.858474,7953.501824622925,7770.841758227248
1533168000,7594,7700,7468,7538.383176,8014.355580540906,7872.789409330195
1533254400,7524.183244,7545,7287,7417.454641,8054.301103740773,7953.501824622925
1533340800,7392.267683,7498.089999,6930.000001,7000,8066.008426776954,8014.355580540906
1533427200,7012.516867,7083.942953,6890,7034.690185,8056.424650305815,8054.301103740773
1533513600,7029.999999,7155.222549,6853,6935,8028.275311420096,8066.008426776954
1533600000,6949.000001,7150,6676.11,6708.173709,7980.564682672055,8056.424650305815
1533686400,6709.434189,6714.347252,6126.75047,6283.758582,7906.421568913521,8028.275311420096
1533772800,6288.390838,6623.343457,6182.496444,6526.800002,7818.055524847011,7980.564682672055
1533859200,6546.817633,6580.046073,6034.105789,6137.063269,7709.14084789284,7906.421568913521
1533945600,6153.103858,6472.385556,5979.506239,6211.379093,7587.166302671196,7818.055524847011
1534032000,6235.515633,6450.821676,6153.817655,6300.038848,7458.012208145444,7709.14084789284
1534118400,6300.038847,6523,6153.820001,6242.848617,7323.7232744853845,7587.166302671196
1534204800,6249.935468,6257.337863,5865,6190.433921,7187.012902970915,7458.012208145444
1534291200,6190.433921,6600.173563,6166.946455,6262.162827,7053.083781120948,7323.7232744853845
1534377600,6262.162827,6477.681871,6218.819046,6309.20499,6924.351793867801,7187.012902970915
1534464000,6325.770051,6586.830815,6290.531513,6569.972726,6809.365517206627,7053.083781120948
1534550400,6568.52971,6608.323176,6300,6378.634391,6701.578437747439,6924.351793867801
1534636800,6390,6532.32,6307.927655,6479.977192,6603.386193995596,6809.365517206627
